state,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,2024_population,2025_population,2026_population,2027_population,2028_population,2029_population,2030_population,2031_population,2032_population,2033_population,2034_population,2035_population,2036_population
Andaman and Nicobar,381000,384000,386000,388000,390000,392000,394000,396000,398000,399000,401000,402000,403000,404000,405000,406000,407000,408000,409000,410000,411000,411000,412000,412000,413000,413000
Andhra Pradesh,49697000,50056000,50414000,50773000,51132000,51466000,51749000,52032000,52315000,52599000,52849000,53033000,53217000,53402000,53586000,53740000,53833000,53926000,54020000,54113000,54180000,54196000,54211000,54226000,54242000,54257000
Arunachal Pradesh,1388000,1403000,1418000,1433000,1448000,1463000,1478000,1493000,1507000,1522000,1537000,1551000,1565000,1580000,1594000,1608000,1620000,1633000,1646000,1659000,1671000,1681000,1691000,1701000,1712000,1722000
Assam,31336000,31729000,32121000,32514000,32906000,33293000,33668000,34043000,34418000,34793000,35155000,35490000,35824000,36159000,36493000,36815000,37111000,37407000,37703000,37999000,38276000,38517000,38758000,38998000,39239000,39479000
Bihar,104771000,106787000,108802000,110817000,112832000,114770000,116551000,118333000,120114000,121895000,123695000,125532000,127368000,129205000,131041000,132850000,134605000,136361000,138116000,139871000,141543000,143050000,144557000,146064000,147571000,149078000
Chandigarh,1061000,1077000,1093000,1109000,1125000,1141000,1155000,1170000,1184000,1198000,1212000,1223000,1235000,1247000,1259000,1270000,1281000,1291000,1301000,1311000,1321000,1329000,1337000,1346000,1354000,1362000
Chhattisgarh,25680000,26086000,26491000,26896000,27301000,27700000,28084000,28468000,28852000,29237000,29607000,29951000,30294000,30638000,30982000,31311000,31613000,31915000,32216000,32518000,32810000,33082000,33355000,33627000,33899000,34172000
Dadra and Nagar Haveli and Daman and Diu,600000,639000,677000,717000,756000,802000,861000,920000,979000,1038000,1108000,1201000,1293000,1387000,1479000,1593000,1747000,1902000,2057000,2211000,2406000,2677000,2948000,3219000,3491000,3762000
Delhi,16914000,17292000,17670000,18047000,18425000,18803000,19182000,19561000,19940000,20319000,20703000,21096000,21490000,21884000,22277000,22674000,23076000,23479000,23882000,24284000,24688000,25096000,25504000,25911000,26319000,26727000
Goa,1462000,1473000,1483000,1494000,1505000,1515000,1524000,1534000,1543000,1553000,1561000,1569000,1577000,1585000,1593000,1601000,1608000,1615000,1622000,1629000,1635000,1641000,1647000,1653000,1659000,1665000
Gujarat,60754000,61698000,62642000,63585000,64529000,65467000,66393000,67319000,68245000,69171000,70075000,70934000,71794000,72653000,73513000,74343000,75112000,75881000,76650000,77419000,78157000,78834000,79511000,80188000,80865000,81542000
Haryana,25492000,25912000,26333000,26754000,27175000,27590000,27996000,28401000,28807000,29213000,29604000,29967000,30331000,30694000,31057000,31409000,31738000,32068000,32397000,32726000,33047000,33352000,33657000,33961000,34266000,34570000
Himachal Pradesh,6884000,6943000,7002000,7061000,7119000,7174000,7221000,7268000,7315000,7362000,7406000,7443000,7480000,7518000,7555000,7588000,7615000,7641000,7668000,7694000,7717000,7731000,7746000,7761000,7775000,7790000
Jammu and Kashmir,12309000,12435000,12561000,12687000,12813000,12931000,13033000,13135000,13237000,13340000,13440000,13538000,13636000,13733000,13831000,13927000,14020000,14113000,14206000,14299000,14387000,14464000,14541000,14618000,14696000,14773000
Jharkhand,33176000,33738000,34300000,34863000,35425000,35978000,36512000,37047000,37581000,38115000,38637000,39135000,39632000,40129000,40626000,41108000,41558000,42009000,42459000,42909000,43339000,43728000,44117000,44506000,44895000,45285000
Karnataka,61304000,61931000,62558000,63184000,63811000,64403000,64926000,65450000,65973000,66496000,66986000,67409000,67833000,68256000,68679000,69074000,69412000,69750000,70088000,70426000,70738000,70997000,71257000,71516000,71775000,72034000
Kerala,33484000,33719000,33953000,34188000,34422000,34639000,34821000,35003000,35186000,35368000,35537000,35680000,35824000,35967000,36111000,36239000,36337000,36434000,36532000,36630000,36712000,36762000,36813000,36864000,36915000,36965000
Ladakh,275000,278000,280000,283000,286000,288000,290000,292000,294000,296000,298000,299000,301000,302000,304000,306000,307000,308000,309000,311000,312000,313000,314000,314000,315000,316000
Lakshadweep,65000,65000,65000,66000,66000,67000,67000,67000,68000,68000,68000,69000,69000,69000,69000,70000,70000,70000,70000,70000,71000,71000,71000,71000,71000,72000
Madhya Pradesh,73039000,74275000,75510000,76746000,77982000,79187000,80329000,81471000,82613000,83755000,84860000,85891000,86923000,87954000,88985000,89965000,90842000,91719000,92595000,93472000,94307000,95056000,95806000,96555000,97305000,98054000
Maharashtra,112798000,114068000,115339000,116609000,117880000,119107000,120249000,121391000,122533000,123676000,124762000,125736000,126710000,127684000,128659000,129584000,130413000,131241000,132070000,132899000,133672000,134334000,134997000,135659000,136322000,136985000
Manipur,2864000,2895000,2926000,2957000,2988000,3019000,3050000,3080000,3111000,3142000,3172000,3201000,3231000,3260000,3289000,3318000,3344000,3371000,3397000,3424000,3449000,3470000,3491000,3512000,3532000,3553000
Meghalaya,2975000,3007000,3040000,3072000,3105000,3137000,3169000,3200000,3232000,3264000,3295000,3326000,3356000,3387000,3417000,3447000,3474000,3502000,3529000,3557000,3583000,3605000,3626000,3648000,3670000,3692000
Mizoram,1100000,1112000,1124000,1136000,1148000,1160000,1172000,1184000,1195000,1207000,1219000,1230000,1241000,1252000,1264000,1275000,1285000,1295000,1305000,1315000,1325000,1333000,1341000,1349000,1357000,1365000
Nagaland,1984000,2005000,2027000,2049000,2070000,2092000,2113000,2134000,2155000,2177000,2198000,2218000,2238000,2258000,2279000,2299000,2317000,2335000,2354000,2372000,2389000,2404000,2418000,2433000,2447000,2462000
Odisha,42107000,42505000,42904000,43302000,43700000,44081000,44428000,44774000,45119000,45465000,45793000,46083000,46373000,46663000,46953000,47221000,47444000,47666000,47889000,48111000,48311000,48464000,48617000,48771000,48923000,49077000
Puducherry,1258000,1289000,1320000,1351000,1381000,1413000,1447000,1481000,1515000,1549000,1584000,1621000,1658000,1695000,1732000,1771000,1811000,1852000,1893000,1934000,1976000,2020000,2065000,2109000,2154000,2198000
Punjab,27836000,28116000,28395000,28674000,28954000,29220000,29460000,29699000,29939000,30179000,30404000,30600000,30796000,30992000,31188000,31370000,31523000,31677000,31831000,31984000,32125000,32239000,32353000,32468000,32582000,32696000
Rajasthan,68928000,70066000,71204000,72343000,73481000,74576000,75584000,76592000,77601000,78609000,79572000,80444000,81316000,82188000,83060000,83879000,84590000,85301000,86012000,86724000,87422000,88095000,88768000,89441000,90114000,90787000
Sikkim,612000,619000,626000,632000,639000,646000,652000,659000,665000,672000,678000,684000,691000,697000,703000,709000,715000,721000,726000,732000,737000,742000,746000,751000,755000,760000
Tamil Nadu,72313000,72811000,73308000,73806000,74303000,74753000,75106000,75460000,75813000,76167000,76479000,76707000,76936000,77165000,77394000,77582000,77689000,77796000,77903000,78011000,78081000,78078000,78075000,78072000,78069000,78066000
Telangana,35077000,35368000,35660000,35951000,36243000,36525000,36778000,37030000,37283000,37536000,37771000,37953000,38135000,38317000,38499000,38665000,38779000,38893000,39007000,39121000,39220000,39272000,39324000,39376000,39428000,39480000
Tripura,3684000,3724000,3764000,3804000,3844000,3884000,3924000,3963000,4002000,4042000,4081000,4118000,4156000,4194000,4232000,4268000,4302000,4336000,4371000,4405000,4437000,4464000,4491000,4518000,4544000,4571000
Uttar Pradesh,200897000,204152000,207407000,210662000,213917000,217075000,220039000,223003000,225967000,228931000,231704000,234094000,236484000,238875000,241265000,243466000,245287000,247107000,248928000,250749000,252432000,253837000,255242000,256648000,258053000,259459000
Uttarakhand,10131000,10265000,10398000,10532000,10666000,10798000,10927000,11055000,11184000,11313000,11439000,11557000,11676000,11795000,11913000,12028000,12134000,12241000,12347000,12454000,12554000,12644000,12734000,12824000,12914000,13004000
West Bengal,91530000,92290000,93051000,93811000,94572000,95282000,95891000,96500000,97109000,97719000,98285000,98764000,99243000,99723000,100202000,100631000,100960000,101290000,101619000,101948000,102218000,102371000,102524000,102676000,102829000,102982000
