"","State","Year","HDI"
"1","Andaman and Nicobar",1990,0.686
"2","Andaman and Nicobar",1991,0.69
"3","Andaman and Nicobar",1992,0.697
"4","Andaman and Nicobar",1993,0.691
"5","Andaman and Nicobar",1994,0.688
"6","Andaman and Nicobar",1995,0.685
"7","Andaman and Nicobar",1996,0.684
"8","Andaman and Nicobar",1997,0.682
"9","Andaman and Nicobar",1998,0.681
"10","Andaman and Nicobar",1999,0.682
"11","Andaman and Nicobar",2000,0.684
"12","Andaman and Nicobar",2001,0.685
"13","Andaman and Nicobar",2002,0.688
"14","Andaman and Nicobar",2003,0.699
"15","Andaman and Nicobar",2004,0.705
"16","Andaman and Nicobar",2005,0.712
"17","Andaman and Nicobar",2006,0.718
"18","Andaman and Nicobar",2007,0.713
"19","Andaman and Nicobar",2008,0.707
"20","Andaman and Nicobar",2009,0.699
"21","Andaman and Nicobar",2010,0.697
"22","Andaman and Nicobar",2011,0.7
"23","Andaman and Nicobar",2012,0.696
"24","Andaman and Nicobar",2013,0.7
"25","Andaman and Nicobar",2014,0.708
"26","Andaman and Nicobar",2015,0.714
"27","Andaman and Nicobar",2016,0.723
"28","Andaman and Nicobar",2017,0.718
"29","Andaman and Nicobar",2018,0.707
"30","Andaman and Nicobar",2019,0.699
"31","Andaman and Nicobar",2020,0.699
"32","Andaman and Nicobar",2021,0.693
"33","Andaman and Nicobar",2022,0.706
"34","Andaman and Nicobar",2023,0.70575
"35","Andaman and Nicobar",2024,0.7055
"36","Andhra Pradesh",1990,0.428
"37","Andhra Pradesh",1991,0.43
"38","Andhra Pradesh",1992,0.435
"39","Andhra Pradesh",1993,0.438
"40","Andhra Pradesh",1994,0.441
"41","Andhra Pradesh",1995,0.446
"42","Andhra Pradesh",1996,0.45
"43","Andhra Pradesh",1997,0.454
"44","Andhra Pradesh",1998,0.459
"45","Andhra Pradesh",1999,0.464
"46","Andhra Pradesh",2000,0.472
"47","Andhra Pradesh",2001,0.478
"48","Andhra Pradesh",2002,0.487
"49","Andhra Pradesh",2003,0.502
"50","Andhra Pradesh",2004,0.513
"51","Andhra Pradesh",2005,0.524
"52","Andhra Pradesh",2006,0.535
"53","Andhra Pradesh",2007,0.546
"54","Andhra Pradesh",2008,0.554
"55","Andhra Pradesh",2009,0.56
"56","Andhra Pradesh",2010,0.571
"57","Andhra Pradesh",2011,0.586
"58","Andhra Pradesh",2012,0.595
